ID,PM2.5,PM2.5_PopWtd,NO2,NO2_PopWtd,Access_City,Access_Motor,Access_Walk,Diabetes,Obesity,Smoking,COPD,COPD_F,COPD_M,CVD,CVD_F,CVD_M,HIV,HIV_F,HIV_M,Hypertension,Hypertension_F,Hypertension_M,Risk_Tot,Risk_Age,Risk_High,Cases_MERS,Cases_SARS,WorldPop,WorldPop_Density,WorldPop_65,WorldPop_F,WorldPop_M,Sex_Ratio
AU99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUACT,,,,,50.2472576342,33.62367574,261.057219093,,,,,,,,,,,,,,,,,,,,,356834.30213,105.666065185,0.12479258,0.5058895092833153,0.4941105127717391,0.97671622
AUNSW,,,,,321.67915388,76.7497985524,591.098868443,,,,,,,,,,,,,,,,,,,,,6760957.72323,6.13746493538,0.16994353,0.5078828533717762,0.49211715798312394,0.96895796
AUNT,,,,,1092.71152188,324.948104748,1386.43517091,,,,,,,,,,,,,,,,,,,,,205281.473273,0.122697700256,0.067281708,0.483827870174699,0.5161721528522206,1.0668508
AUQLD,,,,,544.38133144,163.722440753,1135.23165691,,,,,,,,,,,,,,,,,,,,,4239867.04851,1.93494857098,0.15216678,0.5047112269126504,0.4952887616459531,0.98133099
AUSA,,,,,917.557207684,295.24185162,1852.28824554,,,,,,,,,,,,,,,,,,,,,1580634.11147,1.21894883276,0.18601172,0.5080156148554944,0.49198439054107407,0.96844339
AUTAS,,,,,227.288985792,117.941351377,639.618702586,,,,,,,,,,,,,,,,,,,,,472335.258875,4.47745098088,0.18883088,0.510923534641028,0.489076446569352,0.95723999
AUVIC,,,,,134.928428882,25.4755693859,290.668772353,,,,,,,,,,,,,,,,,,,,,5321387.70609,16.1436155487,0.16466805,0.509028875475473,0.49097114217217913,0.96452504
AUWA,,,,,1153.48352731,380.701618989,2131.96032163,,,,,,,,,,,,,,,,,,,,,2202008.32395,0.674848274317,0.14282221,0.4979131495893907,0.5020868849472634,1.0083824
AZ,18.44522062246,19.160465784753193,2.32494592666626,4.719820022583008,87.7778833726,0,300.783152133,6.0999999,19.9,19.6,2.573800616470444,2.2236445,2.9347458,8.415851460943305,7.4723997,9.3883791,0.02928002446837092,0.015656495,0.043323033,23.061230053745316,22.254066,23.893335,0.24273758,0.22978359,0.0538693,0,0,10220846.693,78.3242654301,0.067576073,0.5075778118805994,0.4924201635317494,0.97013724
BA,16.84028905792495,17.985616773300748,2.7987427711486816,3.451641798019409,74.20308328,0,127.861880656,9,17.9,38.299999,2.477661114571039,2.0188739,2.9614661,7.895552206147578,7.0894499,8.7456112,0.0031857701322531434,0.0021258029,0.0043035378,36.74231339772077,35.434959,38.120956,0.33993503,0.22119719,0.079999767,0,0,3351224.4831,40.5398231791,0.17786805,0.5132708383679688,0.48672919651480334,0.94828922
BB,6.089015142754985,6.083590730078166,3.944468498229981,4.7765960693359375,6.68307086614,0,53.1043307087,13.4,23.1,8.6999998,1.1057863682949327,0.97559953,1.2494045,7.307177303309068,6.914989,7.7398272,0.45612095993623625,0.36127439,0.56075281,27.89213719691422,26.710356,29.195841,0.30572104,0.21850269,0.057820048,0,0,275445.122597,529.70215884,0.16325438,0.5245272402640597,0.4754727866124373,0.90647876
BD,68.75077008854483,72.70523683688394,3.455399751663208,5.711639404296875,37.0751580941,0,132.04316267,9.1999998,3.5999999,39.099998,3.056203997020039,2.8966877,3.2138972,6.304000658783169,5.8656406,6.7373509,0.005238895658090945,0.0042415708,0.0062248232,20.888639951099474,20.18784,21.58143,0.16426644,0.18778963,0.034477901,1,0,164896418.028,934.903548218,0.050963003,0.4971267234324062,0.5028733127842689,1.0115596
BE,13.874823296071904,14.727028778275717,7.779843330383301,9.858004570007324,14.2850507208,0,78.6143441894,4.5999999,22.1,25,4.366664758130293,3.8359957,4.9195733,6.1854944098048685,5.7202239,6.6722851,0.17995674902841602,0.1249321,0.23705341,23.54669290413233,19.758398,27.487209,0.29832864,0.19538274,0.059234358,0,0,11600963.9964,206.448561145,0.19123547,0.5083493063016192,0.4912293928132546,0.9663226
BEBRU,,,,,0.0845070422535,0.849446066773,11.3521126761,,,,,,,,,,,,,,,,,,,,,1260710.07312,4408.07717876,0.1913106,0.5154057255939377,0.48459427193126636,0.94021899
BEVAN,,,,,10.468879668,5.50918343971,67.0992078461,,,,,,,,,,,,,,,,,,,,,1883241.55325,355.06062467,0.19131611,0.5041373361593225,0.49586264087495646,0.98358643
BEVBR,,,,,7.81240731587,4.71456028074,57.6888284726,,,,,,,,,,,,,,,,,,,,,1163617.38668,287.525917143,0.1913106,0.5098973655703609,0.4901026286889204,0.96117896
